,video_id,start_frame,end_frame,class,total_frames
0,196_01_0005_L,0,227,28,228
1,196_01_0005_L,0,227,21,228
2,196_01_0005_L,83,128,9,228
3,065_03_0026_C,0,127,9,230
4,065_03_0026_C,0,229,21,230
5,135_002_0038_F,0,232,21,234
6,135_002_0038_F,0,140,9,234
7,107_02_0024_I,0,236,21,238
8,107_02_0024_I,0,43,9,238
9,118_01_0031_C,0,240,21,242
10,118_01_0031_C,0,40,9,242
11,085_04_0040_D,97,236,9,238
12,085_04_0040_D,0,236,21,238
13,085_04_0017_1,51,234,21,239
14,085_04_0017_1,81,103,9,239
15,108_02_0006_0,0,223,21,241
16,108_02_0006_0,116,138,9,241
17,083_01_0045_B,0,260,24,262
18,083_01_0045_B,0,260,21,262
19,083_01_0045_B,128,260,9,262
20,126_01_0027_E,0,19,9,269
21,126_01_0027_E,0,267,21,269
22,107_02_0024_`,0,288,21,289
23,107_02_0024_`,51,95,9,289
24,191_02_0036_1,21,167,21,292
25,191_02_0036_1,122,168,9,292
26,135_002_0038_H,0,293,21,295
27,135_002_0038_H,91,293,9,295
28,184_01_0044_K,0,294,21,296
29,184_01_0044_K,128,144,9,296
30,184_01_0044_I,0,299,21,300
31,184_01_0044_I,1,54,9,300
32,184_01_0044_I,183,198,9,300
33,030_04_0017_T,0,129,8,311
34,030_04_0017_T,152,219,9,311
35,030_04_0017_T,0,309,21,311
36,030_04_0017_T,0,309,24,311
37,184_04_0019_B,0,312,21,313
38,184_04_0019_B,0,110,9,313
39,085_04_0023_L,0,10,8,319
40,085_04_0023_L,165,300,9,319
41,085_04_0023_L,2,148,23,319
42,085_04_0023_L,133,302,21,319
43,191_02_0042_M,0,314,21,316
44,191_02_0042_M,12,42,7,316
45,191_02_0042_M,156,204,9,316
46,085_04_0024_M,4,94,6,307
47,085_04_0024_M,150,263,9,307
48,085_04_0024_M,0,305,21,307
49,085_04_0007_H,151,168,9,308
50,085_04_0007_H,0,307,21,308
51,191_02_0042_L,0,320,21,321
52,191_02_0042_L,119,149,7,321
53,191_02_0042_L,263,311,9,321
54,043_01_0016_E,0,321,21,323
55,043_01_0016_E,279,321,9,323
56,184_01_0044_N,0,296,21,327
57,184_01_0044_N,116,132,9,327
58,184_01_0044_N,282,326,29,327
59,145_02_0005_0,0,249,21,328
60,145_02_0005_0,246,327,9,328
61,118_01_0005_0,0,330,21,331
62,118_01_0005_0,129,176,9,331
63,083_01_0045_F,0,339,24,341
64,083_01_0045_F,0,337,21,341
65,083_01_0045_F,0,38,9,341
66,083_01_0045_F,167,299,9,341
67,184_04_0020_A,0,342,21,343
68,184_04_0020_A,105,173,9,343
69,085_04_0007_G,0,22,9,334
70,085_04_0007_G,0,332,21,334
71,184_01_0044_M,0,305,21,345
72,184_01_0044_M,330,344,48,345
73,184_01_0044_M,125,141,9,345
74,184_01_0044_M,291,344,29,345
75,070_01_0020_1,13,343,21,348
76,070_01_0020_1,301,321,9,348
77,085_04_0024_K,76,166,6,338
78,085_04_0024_K,223,336,9,338
79,085_04_0024_K,0,337,21,338
80,065_01_0014_F,132,273,9,350
81,065_01_0014_F,271,349,7,350
82,065_01_0014_F,94,349,21,350
83,030_04_0017_G,0,15,9,353
84,030_04_0017_G,23,171,8,353
85,030_04_0017_G,194,261,9,353
86,030_04_0017_G,0,351,21,353
87,030_04_0017_G,0,351,24,353
88,184_04_0034_A,176,356,9,357
89,184_04_0034_A,0,356,21,357
90,085_04_0014_1,157,341,9,347
91,085_04_0014_1,7,341,21,347
92,118_01_0031_A,3,381,21,382
93,118_01_0031_A,122,138,9,382
94,118_01_0031_A,218,243,1,382
95,040_01_0044_A,1,103,21,370
96,040_01_0044_A,98,187,9,370
97,040_01_0044_A,322,369,29,370
98,040_01_0044_A,322,369,0,370
99,126_01_0027_G,116,135,9,385
100,126_01_0027_G,24,383,21,385
101,184_01_0044_F,0,329,21,393
102,184_01_0044_F,315,392,29,393
103,184_01_0044_F,354,387,48,393
104,184_01_0044_F,0,20,9,393
105,184_01_0044_F,149,165,9,393
106,085_04_0023_`,158,189,10,385
107,085_04_0023_`,214,383,9,385
108,085_04_0023_`,0,383,21,385
109,135_002_0038_G,0,400,21,402
110,135_002_0038_G,0,105,9,402
111,135_002_0038_G,197,399,9,402
112,085_04_0007_D,57,79,9,391
113,085_04_0007_D,0,390,21,391
114,121_01_0005_C,0,392,21,394
115,121_01_0005_C,0,15,7,394
116,121_01_0005_C,96,126,9,394
117,121_01_0005_C,293,345,8,394
118,043_01_0016_K,0,420,21,422
119,043_01_0016_K,294,336,9,422
120,118_01_0014_0,0,423,21,430
121,118_01_0014_0,345,368,9,430
122,058_01_0030_1,57,159,21,197
123,058_01_0030_1,75,133,8,197
124,145_03_0009_0,96,135,21,223
125,145_03_0009_0,128,209,8,223
126,077_02_0025_2,97,189,8,235
127,077_02_0025_2,69,225,21,235
128,124_01_0024_M,45,67,8,241
129,124_01_0024_M,0,240,21,241
130,004_01_0038_H,0,247,21,248
131,004_01_0038_H,0,83,8,248
132,043_02_0011_C,0,247,21,248
133,043_02_0011_C,21,247,8,248
134,184_05_0010_C,0,248,21,249
135,184_05_0010_C,78,248,8,249
136,004_01_0011_1,165,243,21,254
137,004_01_0011_1,237,249,8,254
138,124_03_0003_0,0,239,21,261
139,124_03_0003_0,198,228,8,261
140,085_04_0034_D,0,45,8,257
141,085_04_0034_D,0,255,21,257
142,107_02_0014_B,0,268,21,269
143,107_02_0014_B,54,108,8,269
144,121_01_0006_J,0,269,21,271
145,121_01_0006_J,56,89,8,271
146,124_03_0002_A,0,287,21,289
147,124_03_0002_A,0,53,8,289
148,052_03_0005_1,5,294,21,298
149,052_03_0005_1,122,154,8,298
150,040_01_0023_R,0,64,0,294
151,040_01_0023_R,15,129,21,294
152,040_01_0023_R,23,69,8,294
153,040_01_0023_R,127,184,8,294
154,040_01_0023_R,241,292,21,294
155,040_01_0023_R,216,292,0,294
156,068_04_0017_1,212,291,8,294
157,068_04_0017_1,143,229,21,294
158,085_04_0005_F,0,51,8,295
159,085_04_0005_F,0,294,21,295
160,121_01_0013_A,0,299,21,301
161,121_01_0013_A,148,160,8,301
162,087_01_0051_1,73,233,21,312
163,087_01_0051_1,116,146,8,312
164,191_02_0041_],0,312,21,314
165,191_02_0041_],25,96,8,314
166,030_04_0017_B,8,156,8,314
167,030_04_0017_B,179,246,9,314
168,030_04_0017_B,0,312,21,314
169,030_04_0017_B,0,312,24,314
170,043_01_0016_A,0,316,21,317
171,043_01_0016_A,93,139,8,317
172,052_01_0044_A,0,318,21,319
173,052_01_0044_A,92,107,8,319
174,052_01_0044_A,160,193,5,319
175,004_01_0038_B,0,329,21,331
176,004_01_0038_B,194,278,8,331
177,177_03_0035_0,2,316,21,321
178,177_03_0035_0,171,219,8,321
179,121_01_0005_I,0,320,21,322
180,121_01_0005_I,125,177,8,322
181,121_01_0005_D,0,325,21,327
182,121_01_0005_D,160,212,8,327
183,184_05_0010_B,0,338,21,340
184,184_05_0010_B,0,89,8,340
185,184_05_0010_B,167,337,8,340
186,100_02_0018_C,0,358,8,360
187,100_02_0018_C,0,358,21,360
188,147_03_0007_0,0,365,21,369
189,147_03_0007_0,164,224,8,369
190,134_01_0043_A,0,371,21,373
191,134_01_0043_A,0,27,8,373
192,066_02_0008_0,78,192,21,377
193,066_02_0008_0,101,132,8,377
194,147_03_0010_C,0,378,21,380
195,147_03_0010_C,212,378,8,380
196,081_01_0047_0,188,276,21,385
197,081_01_0047_0,303,381,8,385
198,124_01_0024_G,75,146,30,389
199,124_01_0024_G,191,213,8,389
200,124_01_0024_G,0,387,21,389
201,218_01_0012_2,187,375,21,378
202,218_01_0012_2,273,305,8,378
203,052_01_0030_0,0,389,21,393
204,052_01_0030_0,195,228,8,393
205,070_02_0008_C,0,400,21,402
206,070_02_0008_C,0,96,8,402
207,077_04_0030_2,64,399,21,404
208,077_04_0030_2,237,370,8,404
209,100_02_0021_E,92,210,8,415
210,100_02_0021_E,245,321,9,415
211,100_02_0021_E,245,321,2,415
212,100_02_0021_E,0,414,21,415
213,118_02_0032_A,0,413,21,417
214,118_02_0032_A,204,237,8,417
215,070_02_0008_A,0,418,21,420
216,070_02_0008_A,284,418,8,420
217,052_01_0035_O,0,138,11,430
218,052_01_0035_O,81,212,24,430
219,052_01_0035_O,200,428,21,430
220,052_01_0035_O,68,92,8,430
221,052_01_0035_O,314,329,8,430
222,052_01_0020_1,0,430,21,431
223,052_01_0020_1,49,67,8,431
224,121_01_0006_C,0,421,21,423
225,121_01_0006_C,8,46,9,423
226,121_01_0006_C,62,119,9,423
227,121_01_0006_C,175,208,8,423
228,121_01_0006_C,388,414,10,423
229,043_01_0016_D,0,444,21,445
230,043_01_0016_D,2,48,8,445
231,043_01_0016_D,345,386,9,445
232,066_02_0020_0,0,255,21,448
233,066_02_0020_0,227,446,8,448
234,107_01_0015_6,65,83,19,151
235,107_01_0015_6,47,113,8,151
236,076_02_0045_3,2,26,8,151
237,076_02_0045_3,21,39,19,151
238,190_01_0027_0,69,86,8,152
239,190_01_0027_0,86,132,19,152
240,027_01_0023_1,0,22,8,154
241,027_01_0023_1,13,77,19,154
242,046_01_0009_4,63,98,19,154
243,046_01_0009_4,43,94,8,154
244,068_01_0031_1,36,79,19,156
245,068_01_0031_1,1,40,8,156
246,107_01_0030_0,18,117,8,166
247,107_01_0030_0,24,126,19,166
248,107_01_0005_2,118,153,19,191
249,107_01_0005_2,57,142,8,191
250,137_01_0035_3,44,123,19,196
251,137_01_0035_3,12,124,8,196
252,107_01_0019_1,65,165,19,205
253,107_01_0019_1,60,114,8,205
254,107_01_0015_8,38,134,19,208
255,107_01_0015_8,9,107,8,208
256,107_05_0007_1,132,213,19,227
257,107_05_0007_1,110,224,8,227
258,152_04_0007_P,0,51,8,233
259,152_04_0007_P,0,231,19,233
260,214_01_0026_V,0,236,19,273
261,214_01_0026_V,0,114,8,273
262,087_02_0050_E,0,92,8,239
263,087_02_0050_E,0,238,19,239
264,107_02_0024_X,0,240,19,242
265,107_02_0024_X,0,145,8,242
266,081_01_0013_A,0,149,8,265
267,081_01_0013_A,32,263,19,265
268,081_03_0034_1,3,95,8,274
269,081_03_0034_1,13,273,19,274
270,081_01_0013_E,0,22,8,279
271,081_01_0013_E,0,137,19,279
272,152_04_0007_G,0,122,8,304
273,152_04_0007_G,70,302,19,304
274,103_02_0036_B,0,311,25,313
275,103_02_0036_B,0,311,19,313
276,087_02_0050_C,0,62,19,321
277,087_02_0050_C,62,224,8,321
278,087_02_0050_C,131,320,19,321
279,152_02_0019_C,25,326,19,328
280,152_02_0019_C,0,326,8,328
281,051_03_0007_K,0,44,12,327
282,051_03_0007_K,52,107,18,327
283,051_03_0007_K,148,160,19,327
284,051_03_0007_K,0,324,8,327
285,192_02_0023_7,17,173,19,343
286,192_02_0023_7,1,48,8,343
287,196_01_0007_G,0,357,28,358
288,196_01_0007_G,35,200,19,358
289,196_01_0007_G,213,357,13,358
290,196_01_0007_G,0,15,13,358
291,196_01_0007_G,0,26,8,358
292,196_01_0007_G,276,308,10,358
293,152_01_0006_A,77,358,19,360
294,152_01_0006_A,0,358,8,360
295,107_01_0030_[,0,38,9,361
296,107_01_0030_[,116,300,8,361
297,107_01_0030_[,0,51,12,361
298,107_01_0030_[,78,176,12,361
299,107_01_0030_[,176,357,19,361
300,156_05_0011_1,203,351,19,352
301,156_05_0011_1,0,324,8,352
302,030_02_0009_Q,0,226,8,372
303,030_02_0009_Q,262,370,9,372
304,030_02_0009_Q,55,188,19,372
305,030_02_0009_Q,197,275,15,372
306,030_02_0009_Q,356,370,19,372
307,051_04_0026_C,87,125,19,365
308,051_04_0026_C,0,363,8,365
309,214_01_0021_N,5,361,19,389
310,214_01_0021_N,0,197,8,389
311,152_01_0018_0,138,381,19,400
312,152_01_0018_0,0,288,8,400
313,132_02_0020_A,13,209,8,390
314,132_02_0020_A,90,389,19,390
315,132_02_0020_A,288,389,9,390
316,132_02_0022_D,0,11,8,392
317,132_02_0022_D,0,391,19,392
318,132_02_0020_C,16,212,8,396
319,132_02_0020_C,93,394,19,396
320,132_02_0020_C,291,394,9,396
321,103_01_0004_I,2,293,19,411
322,103_01_0004_I,208,231,5,411
323,103_01_0004_E,0,81,8,426
324,103_01_0004_E,80,371,19,426
325,103_01_0004_E,286,309,5,426
326,132_02_0022_B,0,31,8,412
327,132_02_0022_B,19,411,19,412
328,152_04_0007_C,150,444,8,445
329,152_04_0007_C,284,417,19,445
330,083_01_0042_0,0,189,24,193
331,083_01_0042_0,93,117,8,193
332,087_05_0044_D,0,240,24,241
333,087_05_0044_D,123,240,8,241
334,174_02_0014_P,0,247,24,249
335,174_02_0014_P,0,10,8,249
336,087_05_0043_F,0,264,24,265
337,087_05_0043_F,138,264,8,265
338,199_01_0058_0,53,144,24,273
339,199_01_0058_0,141,191,8,273
340,052_01_0034_0,0,267,24,295
341,052_01_0034_0,0,294,11,295
342,052_01_0034_0,101,131,8,295
343,030_01_0008_N,0,300,24,303
344,030_01_0008_N,39,95,9,303
345,030_01_0008_N,155,301,8,303
346,030_01_0008_N,0,78,22,303
347,030_01_0008_N,78,149,17,303
348,087_01_0012_O,0,314,24,316
349,087_01_0012_O,0,119,8,316
350,087_01_0012_O,153,212,8,316
351,180_03_0042_1,78,141,8,314
352,180_03_0042_1,0,309,22,314
353,180_03_0042_1,60,260,24,314
354,174_01_0042_R,0,318,24,321
355,174_01_0042_R,114,158,7,321
356,174_01_0042_R,276,305,8,321
357,068_01_0001_1,132,209,8,311
358,068_01_0001_1,42,137,24,311
359,134_01_0035_1,88,294,24,322
360,134_01_0035_1,239,264,8,322
361,199_01_0056_0,0,327,24,332
362,199_01_0056_0,282,297,8,332
363,087_02_0057_0,72,191,8,337
364,087_02_0057_0,48,327,24,337
365,137_01_0022_B,0,315,24,343
366,137_01_0022_B,171,232,8,343
367,137_01_0022_B,240,288,8,343
368,137_01_0022_B,312,342,8,343
369,218_01_0034_5,46,327,24,333
370,218_01_0034_5,160,214,8,333
371,043_02_0010_A,0,345,21,346
372,043_02_0010_A,0,345,24,346
373,043_02_0010_A,50,116,8,346
374,043_02_0010_F,0,344,21,347
375,043_02_0010_F,0,344,24,347
376,043_02_0010_F,171,248,8,347
377,087_01_0012_N,0,38,0,352
378,087_01_0012_N,0,21,10,352
379,087_01_0012_N,27,350,24,352
380,087_01_0012_N,105,251,8,352
381,087_01_0012_N,285,344,8,352
382,137_01_0006_1,229,345,24,357
383,137_01_0006_1,289,334,8,357
384,174_04_0045_Z,0,363,24,364
385,174_04_0045_Z,0,45,8,364
386,137_01_0038_F,0,54,24,366
387,137_01_0038_F,26,185,8,366
388,137_01_0038_F,185,365,2,366
389,090_02_0015_C,0,365,24,366
390,090_02_0015_C,180,207,8,366
391,043_04_0017_I,0,365,21,367
392,043_04_0017_I,0,365,24,367
393,043_04_0017_I,87,183,8,367
394,043_04_0017_I,276,318,8,367
395,043_04_0017_I,324,365,8,367
396,043_04_0017_K,0,374,21,376
397,043_04_0017_K,0,374,24,376
398,043_04_0017_K,57,153,8,376
399,043_04_0017_K,246,288,8,376
400,043_04_0017_K,293,374,8,376
401,083_01_0043_D,0,378,24,380
402,083_01_0043_D,186,234,8,380
403,087_01_0012_E,0,383,24,385
404,087_01_0012_E,42,188,8,385
405,087_01_0012_E,222,281,8,385
406,137_01_0021_U,192,387,24,390
407,137_01_0021_U,0,21,8,390
408,137_01_0021_U,96,174,8,390
409,137_01_0021_U,263,323,8,390
410,030_01_0008_A,9,418,24,419
411,030_01_0008_A,72,126,8,419
412,030_01_0008_A,213,269,9,419
413,030_01_0008_A,329,418,8,419
414,030_01_0008_A,0,252,22,419
415,030_01_0008_A,252,323,17,419
416,137_01_0021_I,228,423,24,426
417,137_01_0021_I,15,57,8,426
418,137_01_0021_I,132,210,8,426
419,137_01_0021_I,299,359,8,426
420,199_01_0066_0,0,339,24,426
421,199_01_0066_0,339,425,8,426
